CASE_NUMBER,CASE_RECEIVED_DATE,DECISION_DATE,WORK_STATE,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order
I-200-14073-248840,3/14/2014,3/21/2014,IL,62171,software engineer,1
I-200-14092-483272,4/2/2014,4/9/2014,CA,114421,business analyst,6
I-200-13128-133480,5/10/2013,5/14/2013,NY,160000,software engineer,9
I-200-14093-494144,4/3/2014,4/9/2014,WA,115000,business analyst,12
I-200-14027-258414,2/5/2014,2/10/2014,CA,105000,software engineer,15
I-200-13311-440603,11/19/2013,11/22/2013,CA,92352,software engineer,18
I-200-13273-900548,10/18/2013,11/4/2013,WA,90000,software engineer,21
I-200-14016-570954,1/20/2014,1/27/2014,SC,80000,business analyst,24
I-200-13074-152895,3/15/2013,3/20/2013,TX,68162,software engineer,27
I-200-13079-799050,3/21/2013,3/27/2013,CO,79600,software engineer,30
I-200-14290-599454,10/17/2014,10/23/2014,NJ,75000,software engineer,33
I-200-13072-926613,3/15/2013,3/20/2013,MN,65000,data analyst,36
I-200-14073-611631,3/14/2014,3/21/2014,MI,60000,software engineer,40
I-200-13072-274889,3/13/2013,3/18/2013,TX,54600,business analyst,44
I-200-13068-891825,3/9/2013,3/14/2013,NJ,55170,software engineer,48
I-200-14084-026532,3/25/2014,4/3/2014,ID,52500,assistant professor,51
I-200-14356-007181,12/22/2014,12/30/2014,NY,187200,assistant professor,57
I-200-13127-928344,5/9/2013,5/15/2013,NY,166364.64,assistant professor,65
I-200-13142-539783,5/22/2013,8/7/2013,KY,352000,assistant professor,71
I-200-14108-770496,4/21/2014,4/28/2014,NY,303329.52,assistant professor,74
I-200-15056-296786,2/25/2015,3/5/2015,KY,264992,business analyst,77
I-200-13063-939808,3/4/2013,3/8/2013,NY,112788,assistant professor,80
I-200-13254-961497,9/11/2013,9/17/2013,IA,250000,assistant professor,83
I-200-13291-611226,10/23/2013,10/30/2013,KY,240000,assistant professor,86
I-200-13029-626200,1/30/2013,2/5/2013,MD,309302,assistant professor,89
I-200-12284-910556,10/10/2012,10/16/2012,TN,345453.96,assistant professor,92
I-200-13238-610196,8/26/2013,8/30/2013,OH,235000,assistant professor,97
I-200-14145-683401,8/14/2014,8/20/2014,NY,285000,assistant professor,100
I-200-13119-274768,4/29/2013,5/3/2013,GA,220000,assistant professor,103
A-14239-02058,10/17/2014,6/25/2015,CALIFORNIA,250000,software engineer,110
I-200-14161-225161,6/10/2014,6/16/2014,CA,210000,software engineer,113
I-200-14196-096103,7/15/2014,8/12/2014,MI,350000,assistant professor,116
I-200-15050-285105,2/19/2015,2/27/2015,IA,250000,assistant professor,119
I-200-13211-942912,7/30/2013,8/5/2013,IA,220000,assistant professor,175
I-200-11293-321230,11/3/2011,11/9/2011,SC,206000,assistant professor,178
I-200-13316-944888,11/12/2013,9/23/2014,IA,228854,assistant professor,190
I-200-13137-130490,5/21/2013,5/22/2013,CA,222098.24,software engineer,199
I-200-13024-581825,1/25/2013,1/31/2013,CA,210000,software engineer,202
I-200-14142-798860,5/22/2014,5/29/2014,AR,450000,assistant professor,205
I-200-13256-737329,9/13/2013,9/24/2013,AR,400000,assistant professor,208
I-200-13353-479640,12/19/2013,12/26/2013,AR,300000,assistant professor,211
I-200-14177-266747,6/26/2014,6/27/2014,AR,276000,assistant professor,214
I-200-13067-811385,3/8/2013,4/18/2013,ID,226500,assistant professor,217
I-200-15034-018839,2/3/2015,2/9/2015,IA,234000,assistant professor,221
I-200-14162-208085,6/11/2014,6/17/2014,IA,200000,assistant professor,224
I-200-14323-816697,11/19/2014,11/25/2014,NY,195208,software engineer,227
I-200-13113-550985,4/23/2013,4/29/2013,NE,230000,assistant professor,230
I-200-13346-081517,1/17/2014,1/24/2014,KY,195000,assistant professor,239
I-200-14107-935417,4/17/2014,4/23/2014,IA,220000,assistant professor,242
I-200-14133-767079,8/25/2014,8/29/2014,TX,215000,assistant professor,246
I-200-14132-764888,5/23/2014,5/30/2014,NJ,188843,software engineer,249
I-200-15059-673246,3/10/2015,3/16/2015,CA,232824,software engineer,252
A-14289-16288,10/21/2014,3/19/2015,FLORIDA,250000,assistant professor,255
I-200-14281-394552,10/9/2014,10/22/2014,FL,188793,assistant professor,258
I-200-13179-775255,6/28/2013,7/5/2013,OH,235000,assistant professor,272
A-14258-06986,9/19/2014,2/18/2015,PENNSYLVANIA,275000,assistant professor,275
I-200-13094-423492,4/5/2013,4/11/2013,CA,186189,software engineer,278
I-200-15063-847346,3/4/2015,3/10/2015,AR,275000,assistant professor,281
I-200-15007-585600,1/7/2015,1/8/2015,AR,225000,assistant professor,284
I-200-12121-167526,4/30/2012,9/20/2013,IN,83247.84,assistant professor,288
A-14310-23555,11/6/2014,4/28/2015,CALIFORNIA,184683,business analyst,293
A-14363-38339,12/30/2014,6/22/2015,CALIFORNIA,183872,software engineer,297
I-200-13190-642373,7/9/2013,7/15/2013,TX,245000,assistant professor,300
I-200-13143-112382,5/23/2013,5/30/2013,TX,205000,assistant professor,303
I-200-13025-822092,1/25/2013,1/31/2013,TX,185000,assistant professor,306
I-200-13050-062636,2/20/2013,2/26/2013,VA,130121.04,assistant professor,312
I-200-14175-740176,6/27/2014,7/3/2014,WV,200000,assistant professor,315
I-200-14136-875628,5/16/2014,6/2/2014,IL,180000,assistant professor,318
I-200-14057-878534,3/3/2014,3/7/2014,CA,227600,software engineer,321
I-200-14079-374907,3/20/2014,3/26/2014,IA,183000,assistant professor,325
I-200-13242-844359,8/30/2013,9/10/2013,NY,79868.88,assistant professor,328
I-200-15072-888013,3/13/2015,3/19/2015,WA,183600,software engineer,331
I-200-13003-767382,1/10/2013,1/16/2013,PA,175167,assistant professor,334
I-200-12257-185760,11/13/2012,6/6/2013,CA,185000,software engineer,337
