CASE_NUMBER,CASE_RECEIVED_DATE,DECISION_DATE,WORK_STATE,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order,
I-200-14073-248840,3/14/2014,3/21/2014,IL,62171,software engineer,1,0
I-200-14093-494144,4/3/2014,4/9/2014,WA,115000,business analyst,12,0
I-200-13273-900548,10/18/2013,11/4/2013,WA,90000,software engineer,21,0
I-200-13074-152895,3/15/2013,3/20/2013,TX,68162,software engineer,27,0
I-200-13072-926613,3/15/2013,3/20/2013,MN,65000,data analyst,36,0
I-200-13068-891825,3/9/2013,3/14/2013,NJ,55170,software engineer,48,0
I-200-14356-007181,12/22/2014,12/30/2014,NY,187200,assistant professor,57,0
I-200-14108-770496,4/21/2014,4/28/2014,NY,303329.52,assistant professor,74,0
I-200-13254-961497,9/11/2013,9/17/2013,IA,250000,assistant professor,83,0
I-200-13029-626200,1/30/2013,2/5/2013,MD,309302,assistant professor,89,0
I-200-14145-683401,8/14/2014,8/20/2014,NY,285000,assistant professor,100,0
I-200-14161-225161,6/10/2014,6/16/2014,CA,210000,software engineer,113,0
I-200-15050-285105,2/19/2015,2/27/2015,IA,250000,assistant professor,119,0
I-200-13316-944888,11/12/2013,9/23/2014,IA,228854,assistant professor,190,0
I-200-14142-798860,5/22/2014,5/29/2014,AR,450000,assistant professor,205,0
I-200-13353-479640,12/19/2013,12/26/2013,AR,300000,assistant professor,211,0
I-200-15034-018839,2/3/2015,2/9/2015,IA,234000,assistant professor,221,0
I-200-13113-550985,4/23/2013,4/29/2013,NE,230000,assistant professor,230,0
I-200-14107-935417,4/17/2014,4/23/2014,IA,220000,assistant professor,242,0
I-200-15059-673246,3/10/2015,3/16/2015,CA,232824,software engineer,252,0
I-200-13179-775255,6/28/2013,7/5/2013,OH,235000,assistant professor,272,0
I-200-13094-423492,4/5/2013,4/11/2013,CA,186189,software engineer,278,0
I-200-12121-167526,4/30/2012,9/20/2013,IN,83247.84,assistant professor,288,0
I-200-13190-642373,7/9/2013,7/15/2013,TX,245000,assistant professor,300,0
I-200-13025-822092,1/25/2013,1/31/2013,TX,185000,assistant professor,306,0
I-200-14136-875628,5/16/2014,6/2/2014,IL,180000,assistant professor,318,0
I-200-13242-844359,8/30/2013,9/10/2013,NY,79868.88,assistant professor,328,0
I-200-13003-767382,1/10/2013,1/16/2013,PA,175167,assistant professor,334,0
I-200-15062-603720,3/4/2015,3/12/2015,CA,185000,software engineer,343,0
I-200-12283-192987,10/9/2012,10/15/2012,GA,194227,assistant professor,358,0
A-14175-81450,7/1/2014,11/28/2014,TEXAS,172203,business analyst,364,0
I-200-14225-309514,8/13/2014,8/20/2014,CA,180000,software engineer,374,0
I-200-11200-868618,7/21/2011,12/12/2012,CA,175000,software engineer,383,0
I-200-13109-694921,4/25/2013,5/1/2013,CA,190000,software engineer,389,0
A-14134-69468,5/23/2014,10/24/2014,NEW JERSEY,168875,software engineer,398,0
I-200-13291-064220,10/18/2013,11/4/2013,TX,304750,assistant professor,407,0
I-200-10147-971626,5/28/2010,2/7/2013,TX,197000,assistant professor,414,0
A-14118-64455,5/1/2014,10/15/2014,CALIFORNIA,170000,software engineer,424,0
I-200-14010-615297,1/17/2014,1/24/2014,MA,165000,assistant professor,536,0
I-200-13165-480383,6/14/2013,6/20/2013,MI,123552,assistant professor,545,0
I-200-13085-066592,3/26/2013,4/1/2013,MI,168480,assistant professor,555,0
I-200-13065-317164,3/13/2013,3/19/2013,KY,180000,assistant professor,580,0
I-200-11294-534470,10/21/2011,10/27/2011,CA,200000,management consultant,588,0
A-14303-21051,11/10/2014,5/1/2015,TEXAS,161782,software engineer,598,0
I-200-15007-228729,1/7/2015,1/13/2015,IA,188585,assistant professor,608,0
I-200-14273-039698,10/2/2014,10/8/2014,CA,161324,software engineer,614,0
I-200-13200-165158,7/19/2013,7/25/2013,NC,180000,assistant professor,623,0
I-200-13121-834782,5/3/2013,3/28/2014,NC,180000,assistant professor,636,0
I-200-13303-524275,10/31/2013,11/6/2013,CA,162500,software engineer,642,0
I-200-13270-145416,9/27/2013,11/1/2013,CA,158600,software engineer,651,0
I-200-13233-404684,8/21/2013,8/27/2013,OK,180000,assistant professor,662,0
I-200-14044-805856,2/14/2014,2/21/2014,CA,157921,software engineer,668,0
I-200-11314-625645,11/14/2011,11/18/2011,WA,253008,assistant professor,688,0
I-200-14149-337150,5/29/2014,6/4/2014,WV,74252.88,assistant professor,697,0
I-200-11299-195708,10/26/2011,11/1/2011,CA,156354,software engineer,703,0
I-200-14225-240052,8/13/2014,8/19/2014,NY,165000,data scientist,713,0
I-200-14297-184040,10/30/2014,11/6/2014,CA,170000,software engineer,726,0
I-200-15035-361542,2/4/2015,2/10/2015,CA,162000,software engineer,733,0
I-200-13066-113111,3/7/2013,3/13/2013,WI,165067,assistant professor,742,0
I-200-14020-011743,1/20/2014,1/24/2014,AR,192000,assistant professor,756,0
I-200-14090-754130,3/31/2014,4/4/2014,AR,180000,assistant professor,762,0
I-200-13073-882275,3/15/2013,3/21/2013,CA,152949,software engineer,771,0
I-203-15064-236227,3/13/2015,3/19/2015,CA,153000,software engineer,780,0
I-200-14339-834596,12/5/2014,12/12/2014,CA,350000,software engineer,786,0
I-200-15050-364572,2/19/2015,2/25/2015,CA,300000,software engineer,795,0
I-200-14308-217150,11/4/2014,11/10/2014,CA,260200,software engineer,804,0
I-200-14294-017107,10/21/2014,10/27/2014,CA,250000,software engineer,810,0
I-200-15051-688524,2/20/2015,2/26/2015,CA,231774.4,software engineer,819,0
I-200-15042-634964,2/11/2015,2/18/2015,CA,211595,software engineer,828,0
I-200-15083-931123,3/24/2015,3/30/2015,CA,196598.03,software engineer,834,0
I-200-15013-303055,1/15/2015,1/22/2015,CA,180000,software engineer,843,0
I-200-14317-272110,11/14/2014,11/20/2014,CA,175000,software engineer,852,0
I-200-15015-107636,2/3/2015,2/9/2015,CA,173200,software engineer,858,0
I-200-15050-571743,2/20/2015,3/2/2015,CA,170000,software engineer,867,0
I-200-14258-426317,9/17/2014,9/23/2014,CA,167000,software engineer,876,0
I-200-15055-519546,2/25/2015,3/3/2015,CA,165000,software engineer,882,0
I-200-15049-764695,2/25/2015,3/4/2015,CA,163483,software engineer,891,0
I-200-15019-321026,1/19/2015,1/23/2015,CA,160000,software engineer,900,0
I-200-14214-788467,8/5/2014,8/11/2014,CA,160000,software engineer,906,0
I-203-14356-730212,12/23/2014,12/30/2014,CA,157000,software engineer,915,0
I-200-15015-776597,1/16/2015,1/23/2015,CA,155000,software engineer,924,0
I-200-14206-114644,7/28/2014,8/1/2014,CA,155000,software engineer,930,0
I-200-15023-255833,1/26/2015,1/30/2015,CA,153000,software engineer,939,0
A-14259-07280,9/16/2014,2/13/2015,CALIFORNIA,152776,software engineer,948,0
A-14266-09404,9/23/2014,2/11/2015,CALIFORNIA,152776,software engineer,954,0
A-14301-20061,11/13/2014,4/29/2015,CALIFORNIA,152776,software engineer,963,0
I-200-14324-172230,11/20/2014,11/26/2014,CA,152776,software engineer,972,0
I-200-15020-666151,1/20/2015,1/26/2015,CA,152776,software engineer,978,0
I-200-15057-698066,3/4/2015,3/10/2015,CA,152776,software engineer,987,0
I-200-15070-585432,3/11/2015,3/18/2015,CA,152776,software engineer,996,0
I-200-15082-547022,3/23/2015,3/27/2015,CA,152776,software engineer,1002,0
I-200-14196-830367,7/15/2014,7/21/2014,CA,152776,software engineer,1011,0
I-200-15061-351328,3/3/2015,3/11/2015,CA,150000,software engineer,1020,0
I-200-14149-041656,5/30/2014,6/18/2014,CA,175000,software engineer,1027,0
I-200-14035-144608,2/4/2014,2/10/2014,IL,190000,assistant professor,1036,0
I-200-13217-998475,8/6/2013,8/12/2013,CA,168360,software engineer,1045,0
I-200-15049-078537,2/24/2015,3/3/2015,CA,183066,data scientist,1051,0
I-200-13309-208881,11/5/2013,11/12/2013,CA,175612,software engineer,1060,0
I-200-11315-395365,11/15/2011,11/21/2011,CA,210000,software engineer,1069,0
A-13339-22080,1/8/2014,6/16/2015,NEW JERSEY,149157,software engineer,1075,0
I-200-14273-356215,9/30/2014,10/6/2014,TX,205000,assistant professor,1084,0
I-200-13157-148965,6/6/2013,6/12/2013,MN,72006.48,assistant professor,1093,0
I-200-14126-195381,5/6/2014,5/12/2014,KY,195000,assistant professor,1099,0
I-200-14335-506533,12/1/2014,12/5/2014,CA,215000,software engineer,1108,0
I-200-15060-486634,3/2/2015,3/6/2015,CA,180000,software engineer,1117,0
I-200-14337-958582,12/8/2014,12/12/2014,CA,165000,software engineer,1123,0
I-200-15048-909872,2/26/2015,3/4/2015,CA,160000,software engineer,1132,0
I-200-15061-201617,3/2/2015,3/6/2015,CA,155000,software engineer,1141,0
A-14295-18344,10/30/2014,4/17/2015,CALIFORNIA,152000,software engineer,1147,0
I-200-14272-765627,9/29/2014,10/3/2014,CA,150000,software engineer,1156,0
I-200-15069-173917,3/10/2015,3/23/2015,CA,150000,software engineer,1165,0
I-200-14224-836916,8/13/2014,8/19/2014,CA,150000,software engineer,1171,0
A-14163-77615,9/17/2014,2/6/2015,CALIFORNIA,148803,software engineer,1180,0
A-14323-26908,11/20/2014,5/4/2015,CALIFORNIA,148803,software engineer,1189,0
I-200-14297-885097,10/28/2014,11/3/2014,CA,148803,software engineer,1195,0
I-200-15058-531249,2/27/2015,3/5/2015,CA,148803,software engineer,1204,0
I-200-14224-279122,8/12/2014,8/18/2014,CA,148803,software engineer,1213,0
I-200-14253-774597,9/17/2014,9/23/2014,CA,148803,software engineer,1219,0
I-200-14192-433494,7/14/2014,7/21/2014,CA,147971,software engineer,1231,0
I-200-14248-919645,9/5/2014,9/11/2014,CA,177000,software engineer,1245,0
I-203-14293-688014,10/21/2014,10/27/2014,CA,155000,software engineer,1251,0
I-200-14231-247495,8/21/2014,8/27/2014,CA,147576,software engineer,1260,0
I-200-13295-729941,10/22/2013,11/1/2013,NM,155000,assistant professor,1269,0
I-200-13169-737888,6/21/2013,6/27/2013,CA,180000,software engineer,1275,0
I-200-13094-127012,4/9/2013,4/15/2013,CA,159500,software engineer,1284,0
A-13150-67320,5/28/2013,3/11/2015,CALIFORNIA,150696,software engineer,1293,0
I-200-13008-822717,1/8/2013,1/14/2013,CA,150000,software engineer,1299,0
A-13240-92110,9/10/2013,4/16/2015,CALIFORNIA,147472,software engineer,1308,0
I-200-13053-083494,2/26/2013,3/4/2013,CA,147472,software engineer,1317,0
I-200-13179-816286,6/28/2013,7/5/2013,CA,147472,software engineer,1323,0
I-200-13018-225017,1/18/2013,1/25/2013,CA,148000,business analyst,1333,0
I-200-14209-725518,8/5/2014,8/12/2014,CA,167352.24,software engineer,1342,0
I-200-14205-768182,7/28/2014,8/4/2014,CA,154000,software engineer,1348,0
I-200-14168-051768,6/18/2014,6/24/2014,CA,147500,software engineer,1357,0
I-200-13094-816742,4/4/2013,4/10/2013,OK,146619,assistant professor,1366,0
I-200-13064-840469,3/7/2013,3/13/2013,PA,170000,assistant professor,1372,0
I-200-11146-420042,5/26/2011,12/30/2013,LA,150000,assistant professor,1381,0
I-200-14071-429865,3/13/2014,3/21/2014,CA,172000,software engineer,1390,0
I-200-14121-205391,5/1/2014,5/7/2014,CA,164307.33,software engineer,1396,0
I-200-14070-961778,3/15/2014,3/24/2014,CA,158000,software engineer,1405,0
I-200-14132-457958,6/3/2014,6/9/2014,CA,153076.5,software engineer,1414,0
I-200-14067-657378,3/10/2014,3/17/2014,CA,150000,software engineer,1420,0
I-200-14023-409885,1/24/2014,1/30/2014,CA,165000,software engineer,1429,0
I-200-14064-508701,3/5/2014,3/11/2014,NJ,145226,software engineer,1438,0
I-200-13123-132897,5/3/2013,5/7/2014,TX,320000,assistant professor,1449,0
I-200-13163-835851,6/12/2013,6/18/2013,TX,180000,assistant professor,1458,0
I-200-15068-085688,3/9/2015,3/13/2015,TX,210000,assistant professor,1467,0
I-200-13161-663684,6/12/2013,6/18/2013,IA,220000,assistant professor,1473,0
I-200-14113-241734,4/30/2014,5/6/2014,CA,144206.4,software engineer,1482,0
A-14259-07350,9/29/2014,2/20/2015,CALIFORNIA,183500,software engineer,1491,0
A-14132-68623,8/27/2014,1/12/2015,CALIFORNIA,170000,software engineer,1497,0
I-200-14006-067881,1/6/2014,1/10/2014,CA,165000,software engineer,1506,0
I-200-14155-402756,6/5/2014,6/11/2014,CA,160000,software engineer,1515,0
I-200-13231-997211,8/19/2013,8/23/2013,CA,157500,software engineer,1521,0
I-200-14122-483111,5/6/2014,5/12/2014,CA,152955,software engineer,1530,0
I-200-13273-063824,9/30/2013,10/22/2013,CA,150000,software engineer,1539,0
I-200-14118-138041,5/5/2014,5/9/2014,CA,150000,software engineer,1545,0
I-200-14178-335727,6/27/2014,7/3/2014,CA,146000.16,software engineer,1554,0
I-200-14050-730383,2/19/2014,2/25/2014,CA,145000,software engineer,1563,0
I-200-14125-438896,5/14/2014,5/20/2014,CA,145000,software engineer,1569,0
I-200-13193-900859,9/10/2013,9/19/2013,CA,145000,software engineer,1578,0
A-14123-66026,7/18/2014,12/9/2014,CALIFORNIA,144206,software engineer,1587,0
A-14199-90205,10/10/2014,3/4/2015,CALIFORNIA,144206,software engineer,1593,0
A-14237-01341,9/16/2014,2/5/2015,CALIFORNIA,144206,software engineer,1602,0
A-14300-19877,11/17/2014,4/30/2015,CALIFORNIA,144206,software engineer,1611,0
I-200-13311-569837,11/8/2013,11/15/2013,CA,144206,software engineer,1617,0
I-200-14029-001395,1/29/2014,2/4/2014,CA,144206,software engineer,1626,0
I-200-14128-543729,5/8/2014,5/14/2014,CA,144206,software engineer,1635,0
I-200-14168-715132,6/24/2014,6/30/2014,CA,144206,software engineer,1641,0
I-200-13113-463915,4/24/2013,4/30/2013,AL,150000,assistant professor,1650,0
I-200-13197-395639,7/16/2013,7/22/2013,NJ,163000,assistant professor,1660,0
I-200-12285-523901,10/23/2012,10/26/2012,MD,142792,software engineer,1666,0
I-200-15044-468023,2/18/2015,2/24/2015,FL,210115.31,assistant professor,1675,0
I-200-14133-404255,5/14/2014,5/20/2014,CA,156000,software engineer,1684,0
I-200-14108-333984,4/18/2014,4/24/2014,CA,145600,software engineer,1690,0
A-14309-22649,11/7/2014,3/10/2015,CALIFORNIA,140920,management consultant,1699,0
I-200-14192-087399,7/11/2014,7/17/2014,CA,145000,data scientist,1708,0
I-200-15037-239430,2/6/2015,2/13/2015,CA,150000,software engineer,1714,0
I-200-15064-686686,3/6/2015,3/16/2015,CA,165000,software engineer,1724,0
I-200-14232-665164,8/22/2014,8/28/2014,CA,150000,software engineer,1733,0
I-200-14275-553686,10/2/2014,10/8/2014,CA,141440,software engineer,1739,0
I-200-13336-675848,12/2/2013,12/6/2013,TX,450000,assistant professor,1765,0
A-14315-24604,11/17/2014,5/11/2015,TEXAS,138819,software engineer,1774,0
I-200-13156-460306,6/5/2013,6/11/2013,MS,164000,assistant professor,1780,0
I-200-14252-613503,9/10/2014,9/17/2014,CO,190000,assistant professor,1790,0
I-200-14041-215310,2/10/2014,2/15/2014,KY,200000,assistant professor,1799,0
I-200-13291-602243,10/18/2013,11/1/2013,CA,165000,software engineer,1805,0
I-200-15071-755300,3/25/2015,3/31/2015,AZ,150000,management consultant,1818,0
I-200-13065-829381,6/27/2013,7/3/2013,CA,136448,data analyst,1829,0
I-200-13337-487325,12/3/2013,12/9/2013,CA,160000,data scientist,1835,0
I-200-15043-005727,2/13/2015,2/23/2015,CA,150008,software engineer,1844,0
I-200-15049-956756,2/23/2015,3/4/2015,CA,135941,software engineer,1853,0
I-200-14231-727378,8/19/2014,8/25/2014,TX,150000,business analyst,1859,0
I-200-14303-229084,10/30/2014,11/5/2014,GA,190000,assistant professor,1868,0
